entry_id,status,accident_type,trade,scenario_ids,directive_ko,hoc_level,spec,action_by,design_decidable,promoted,reason_code,exposure_channel,adjudication_note,hoc_rule_exception,source_id,source_type,source_edition,legal_basis,legal_verified_date,evidence_level,rule_type,rule_id,simulation_action,parameter_value,parameter_source,sensitivity_target,applies_to_cell_type,cell_type_basis,supersedes,redundant_with,requires,residual_risk,ifc_class,ifc_predefined_type,target_pset,geometry_operation,install_cost_level,install_duration_days,cost_note,in_experiment_set,kalis_frequency,needs_review,note
KE_K_CP_07,active,무너짐,타설,,시스템동바리 적용으로 재래식 강관동바리의 조립불량 기인 붕괴 경로를 대체,대체,높이 5m 이상 시 구조안전성 검토 반영,SE;PE,TRUE,TRUE,,zone_occupancy,v2.5 사람 판정: H008_ShoringCollapse zone 이 생성되어 NO_CHANNEL 논거 소멸 (재해유형 무너짐 → zone_occupancy),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_CP_07,substitute_shoring_system_reduce_defect_derived_collapse_instances,,design_change,FALSE,collapse_zone,R1 simulation_action='substitute_shoring_system_reduce_defect_derived_collapse_instances' 에 'shoring_system' 명시,,,,,,,,,mid,,기존 ALT_CP_PC(PC 전환)보다 비용·적용성이 낮은 대체 대안 — 대체 등급 내 비교 가능,,31,TRUE,"관계 후보(미판정, 서술문 근거): ALT_CP_PC | fillsRung=붕괴 사다리의 대체 등급 보강"
KE_K_CP_08,active,무너짐,타설,,가설기자재 인증품 반입 및 반입시험 실시를 설계도면에 명시 — 불량 자재 기인 붕괴 경로 차단,관리적,,SE;CON,TRUE,FALSE,NO_EXPOSURE,none,설계자 산출물이지만 문서화 동사(명시)만 확인; '가설기자재/인증품/자재'는 검토·작성의 대상일 뿐 설치되는 산출물이 아님 — 작업자 위치·체류시간을 바꾸지 않음.,FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,11,FALSE,fillsRung=붕괴 사다리의 관리적 등급
KE_K_CP_09,active,무너짐,거푸집설치,,조립·해체 작업순서도를 설계도서에 반영하여 공정 간 중첩 및 역순 해체를 사전 배제,제거,,PE;CON,TRUE,TRUE,,zone_occupancy,v2.5 사람 판정: H008_ShoringCollapse zone 이 생성되어 NO_CHANNEL 논거 소멸 (재해유형 무너짐 → zone_occupancy),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,TemporalRule,RULE_K_CP_09,deconflict: enforce assembly/dismantling precedence order,,schedule_logic,FALSE,,TemporalRule — 격자 대상 아님(별도 경로),,,,,,,,,mid,,기존 RULE_HS_PHASED와 규칙 형식이 동일 — 통합 검토 가능,,49,TRUE,"관계 후보(미판정, 서술문 근거): RULE_HS_PHASED | fillsRung=붕괴 사다리의 제거 등급 보강"
KE_K_FE_10,active,떨어짐,거푸집설치,,재래식 강관비계·강관동바리 대신 시스템비계·시스템동바리를 설계 적용 — 규격화 부재로 조립불량에서 기인하는,대체,구조검토서에 의한 시스템비계·동바리 설치,SE;PE,TRUE,TRUE,,dwell_time,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정 (재해유형 떨어짐 → dwell_time),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_FE_10,substitute_scaffold_system_reduce_assembly_defect_instances,,design_change,FALSE,scaffold,R1 simulation_action='substitute_scaffold_system_reduce_assembly_defect_instances' 에 'scaffold_system' 명시,,,,,,,,,mid,,추락·붕괴 두 채널에 동시 작용하는 최초의 대안. 채널 간 상호작용 검증 케이스로 활용 가능,,186,TRUE,fillsRung=추락 사다리의 대체 등급(기존 공백) | directive 말미 절단 의심 — 원천 확인 필요 (조사 '하는' 로 끝나 뒤 성분이 이어져야 함) | 원본 directive: 재래식 강관비계·강관동바리 대신 시스템비계·시스템동바리를 설계 적용 — 규격화 부재로 조립불량에서 기인하는 
KE_K_FE_11,active,무너짐,거푸집설치,,동바리·비계 지지 지반의 평탄화 및 버림콘크리트 타설을 설계에 반영 — 부등침하 기인 전도·붕괴 차단,공학적,"버림콘크리트 10cm 타설, 부등침하 방지조치",CE;SE,TRUE,TRUE,,zone_occupancy,v2.5 사람 판정: H008_ShoringCollapse zone 이 생성되어 NO_CHANNEL 논거 소멸 (재해유형 무너짐 → zone_occupancy),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_FE_11,reduce_collapse_prob_for_prepared_ground,,heuristic,TRUE,collapse_zone,R2 exposure_channel='zone_occupancy' — 이 프로젝트 zone 집합에서 1:1 (H008 뿐),,,,,,,,,mid,,계수 미확보 — sensitivityTarget 지정 필요,,11,TRUE,fillsRung=붕괴 사다리의 지반 기인 경로
KE_K_FS_02,active,떨어짐,거푸집해체,,거푸집·동바리 존치기간과 해체시기·해체순서를 설계도면에 명기 — 조기 해체 및 무계획 해체 창(window),관리적,존치기간 및 유의사항 도면 표기,SE;PE,TRUE,TRUE,,zone_occupancy,공정 순서·시점 변경(순서/존치기간) 수반 → 승격. 노출 채널 zone_occupancy (근거어: 존치). 문서화 동사(명기)도 있으나 목적어가 물리적 산출물.,TRUE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,TemporalRule,RULE_K_FS_02,set precedence: formwork_stripping(Z) requires retention_period_elapsed(Z),,schedule_logic,FALSE,,TemporalRule — 격자 대상 아님(별도 경로),,,,,,,,,mid,,기존 LCR_SHORING_COLLAPSE의 despawnTrigger와 직접 대응 — 라이브러리와 시뮬레이터 정합 지점,,90,FALSE,도면 명기는 관리적이나 작용 기제는 해체 가능 시점 이동(시간적). 둘 다 옳음 — 분류 유지. | fillsRung=붕괴 사다리의 관리적 등급(기존 공백)
KE_K_HS_05,active,물체에맞음,자재운반,,자재 다단적재 금지 및 작업발판 1개당 최대 적재하중을 도면에 표기 — 적치물 전도·낙하 발생원 자체를 제한,공학적,"작업발판 1개당 최대 적재하중 표기, 다단적재 금지",SE;PE,TRUE,TRUE,,passage_count,v2.5 사람 판정: LCR_DROP_ZONE 템플릿 추가로 NO_CHANNEL 논거 소멸 (재해유형 물체에맞음 → passage_count),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_HS_05,cap_material_stack_height_limit_spawn_volume,,design_change,FALSE,material_storage,R1 simulation_action='cap_material_stack_height_limit_spawn_volume' 에 'material_stack' 명시,,,,,,,,,mid,,기존 RULE_TRIP_STORAGE(재배치)와 달리 적치 '양'을 제한 — 별개 규칙,,47,TRUE,"관계 후보(미판정, 서술문 근거): RULE_TRIP_STORAGE | fillsRung=자재 운반의 공학적 등급(기존 TBM 편중)"
KE_K_HS_06,active,물체에맞음,거푸집설치,,가설울타리·가설휀스 설치계획도를 작성하여 낙하 영향구역과 통행구역을 물리적으로 분리,공학적,,PE;CON,TRUE,TRUE,,passage_count,v2.5 사람 판정: LCR_DROP_ZONE 템플릿 추가로 NO_CHANNEL 논거 소멸 (재해유형 물체에맞음 → passage_count),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_HS_06,block_agent_entry_to_drop_influence_zone,,design_change,FALSE,drop_zone,R1 simulation_action='block_agent_entry_to_drop_influence_zone' 에 'drop_influence_zone' 명시,,,,,,,,,mid,,H009_DropZone 채널 구현 시 직접 대응,,38,TRUE,fillsRung=낙하물 영향구역의 공간적 분리
KE_K_PI_01,excluded,,철근,,돌출 연직철근에 안전캡 설치를 설계도면에 반영 — 관통상 위험 제거,공학적,돌출 연직철근 전량 안전캡,SE;CON,TRUE,,,,[v2.4 범위 제외] 판정 대상 제외 (status=excluded),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_PI_01,reduce_puncture_severity_at_exposed_rebar_cells,,heuristic,TRUE,,유도 원천 없음 (simulation_action·exposure_channel 모두 비었거나 미인식),,,,,,,,,mid,,라이브러리 6개 재해유형에 없던 채널. 대상 범위 내 140건으로 넘어짐(134)보다 많음,,72,TRUE,v2.4 범위 제외 | 재해유형/공종 미결정 — 원천에 셀 연결 없음 | fillsRung=재해유형 신설 — 찔림
KE_K_RB_02,active,떨어짐,철근,,슬래브 상부 배근 구간에 실족방지 발판 및 작업자 전용 가설 이동통로를 설치 — 배근면 직접 보행 자체를 회,공학적,,SE;CON,TRUE,TRUE,,passage_count,물리적 조치(발판/이동통로/통로) 수반 → 승격. 노출 채널 passage_count (근거어: 통로/이동/보행).,FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_RB_02,add_dedicated_walkway_reroute_agents,,design_change,FALSE,,R1 미결: simulation_action 의 'walkway' 는 대상 격자를 특정하지 않는다,,,,,,,,,mid,,동선을 직접 바꾸는 SpatialChangeRule — 효과가 계수가 아닌 창발로 산출되는 공학적 등급 사례,,167,FALSE,fillsRung=철근 공종의 발빠짐·넘어짐 공학적 등급
KE_K_RB_03,active,물체에맞음,철근,,수직 철근 및 조립 철근에 전도방지 버팀대를 설치하도록 상세도를 설계에 반영,공학적,"수직 철근 버팀대 설치, 자립도 검토 및 앵커 보강",SE;CON,TRUE,TRUE,,passage_count,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정. 지시서 3-1 목록에 누락된 항목으로 그룹 (c)와 동일 처리 (재해유형 물체에맞음 → passage_count),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_RB_03,reduce_material_topple_prob_for_braced_rebar,,heuristic,TRUE,,R2 미결: exposure_channel='passage_count' 는 복수 위험유형에 대응해 모호 (accident_type='물체에맞음' 만으로는 결정 불가),,,,,,,,,mid,,KALIS 내 단일 대책 중 2위 빈도. 계수 미확보 — sensitivityTarget,,243,TRUE,fillsRung=철근 공종 물체에맞음의 공학적 등급(기존 TBM 단독)
KE_K_ST_03,active,부딪힘,자재운반,,작업자 동선과 차량·장비 동선을 분리한 가설배치도를 작성(진출입로·유도자 배치 포함),공학적,"현장 진출입로, 작업자·차량 동선 구분",PE;CON,TRUE,TRUE,,passage_count,v2.5 사람 판정: H011_EquipmentCorridor 채널을 R6 로 신규 구현 (장비 에이전트 없이 주행 구역을 정적 zone 으로 두고 통과 횟수 계수) (재해유형 부딪힘 → passage_count),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,SpatialChangeRule,RULE_K_ST_03,separate_worker_and_equipment_corridors,,design_change,FALSE,equipment_corridor,R1 simulation_action='separate_worker_and_equipment_corridors' 에 'equipment_corridor' 명시,,,,,,,,,mid,,부딪힘 7건 중 5건이 TBM이던 상태를 해소. 장비 에이전트 도입 시 유효,,12,TRUE,fillsRung=부딪힘 채널 최초의 공간적 대안
KE_K_TR_08,active,넘어짐,자재운반,,정리정돈 기준 및 통로 조명 설치 예시도를 설계도서에 반영,경고,규칙 제8조 — 그 밖의 작업 75lux 이상,PE;CON,TRUE,TRUE,,passage_count,물리적 조치(조명/통로/설치) 수반 → 승격. 노출 채널 passage_count (근거어: 통로). 문서화 동사(반영)도 있으나 목적어가 물리적 산출물.,FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_TR_08,reduce_trip_prob_for_lit_routes,,heuristic,TRUE,,R2 미결: exposure_channel='passage_count' 는 복수 위험유형에 대응해 모호 (accident_type='넘어짐' 만으로는 결정 불가),,,,,,,,,mid,,기존 KE_M_Trip_MatHandling_02와 중복 — 통합하고 evidenceLevel을 heuristic→official_data로 승격,,1,TRUE,"관계 후보(미판정, 서술문 근거): KE_M_Trip_MatHandling_02 | fillsRung=기존 RULE_TRIP_LIGHT의 전거 보강"
KE_M_Caught_FormErection_01,active,끼임,거푸집설치,,안전교육·TBM·사례전파,관리적,,,FALSE,FALSE,NOT_DESIGN,none,design_decidable=FALSE — 시공자 준수사항·현장 관리 행위로 설계 단계에서 결정되지 않음.,FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,"원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 작업자 안전교육 실시 / 퇴근전 무사고 확인서 작성후, 이후 병원 진단서 제출 | v2.5 TBM 원형 통합 대표 (KE_M_TBM_PROTOTYPE). 동일 directive 25건을 이 항목으로 통합"
KE_M_Caught_MatHandling_01,excluded,끼임,자재운반,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 조치 및 해당 작업 대상 근로자 안전교육 실시 / 사고 발생 후 강동성심병원에서 진료 후 서울 프라임병원으로 이 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조
KE_M_Caught_Pour_01,excluded,끼임,타설,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 관급자재 업체에 근로자 안전 교육토록 안내 / 사고 직후 병원 이송후 수술 및 입원 진행 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조
KE_M_Caught_Rebar_01,excluded,끼임,철근,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,"원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 작업자 안전교육 실시 / 퇴근전 무사고 확인서 작성후, 병원 수술 진단서 제출 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조"
KE_M_Caught_Stripping_01,excluded,끼임,거푸집해체,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 조사 실시 및 해체 작업 안전수칙 재교육 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조
KE_M_Fall_FormErection_01,active,떨어짐,거푸집설치,,슬래브 개구부에 소요강도 이상의 규격 덮개를 설치하고 이탈방지 고정 상세를 설계도면에 반영,공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(덮개/복공) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부/덮개/복공).,FALSE,REF_S35,공공데이터,,"산업안전보건기준에 관한 규칙 제43조 (개구부 등의 방호 조치) — 덮개는 뒤집히거나 떨어지지 않도록 설치 (개정 2019.12.26., 2022.10.18.)",,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 개구부 덮개·복공 — 사례: 시 충분한 강도를 가진 재질/규격의 덮개(안전시설물) 설치 및 고정 철저 개구부 덮개 상부 ‘개구부 주의’ 등 | v2.4 directive: 개구부 덮개·복공
KE_M_Fall_FormErection_02,active,떨어짐,거푸집설치,,보 단부 등 추락위험 구간에 안전로프 대신 견고한 구조의 임시 안전난간을 설치하도록 가설 난간 상세를 설계에 반영,공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(난간/설치) 수반 → 승격. 노출 채널 dwell_time (근거어: 난간).,FALSE,REF_S35,공공데이터,,,,official_data,AgentParameterRule,RULE_FE_GUARDRAIL,,fallProbMultiplier=0.10,,FALSE,edge_cells,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,low,1,v1.2 ALT-H005-L3 승계: 단부 난간의 추락확률 계수 (ENG_FALL_FACTOR=0.10),,0,TRUE,"원천 parameterSourceType='inherited_v1' — 목표 열거형에 대응 없음 | 원천 KE evidenceLevel=field_practice | 원천 promotionStatus=promoted | 원본 directive: 안전난간 설치·보강 — 사례: 철거하고, 견고한 구조의 임시 안전난간으로 전면 재시공. ​- 근로자 작업 통제 및 교육: TBM(작업 전 | v2.4 directive: 안전난간 설치·보강"
KE_M_Fall_FormErection_03,active,떨어짐,거푸집설치,,형틀작업 구간에 지정 작업발판과 이동통로를 설계 단계에서 배치하여 임의 발판 설치를 배제,공학적,,,TRUE,TRUE,,dwell_time,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정 (재해유형 떨어짐 → dwell_time),FALSE,REF_S35,공공데이터,,,,official_data,AgentParameterRule,RULE_FE_PLATFORM,,fallProbMultiplier=0.30,,TRUE,elevated_work_zone,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,mid,1,발판·틈새막음의 추락확률 저감 — v1.2 H005-L2 접근개선 계수(0.30) 준용. 클래스 전이이므로 민감도 분석 대상,,0,TRUE,"원천 parameterSourceType='inherited_v1_class_transfer' — 목표 열거형에 대응 없음 | 원천 KE evidenceLevel=field_practice | 원천 promotionStatus=promoted | 원본 directive: 작업발판 설치·일체형·틈새막음 — 사례: o 지정된 통로 외 임의로 발판설치 금지, 상부 작업 및 이동시 안전고리 체결 철저 o 사고사례 全현장 | v2.4 directive: 작업발판 설치·일체형·틈새막음"
KE_M_Fall_FormErection_04,excluded,떨어짐,거푸집설치,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,AgentParameterRule,RULE_FE_ADM,,fallProbMultiplier=0.59,,FALSE,elevated_work_zone,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,low,,v1.2 ALT-H005-L4 승계: 허가·감독·교육의 위험허용도 저감 (ADM_FALL_FACTOR=0.59),,0,TRUE,원천 parameterSourceType='inherited_v1' — 목표 열거형에 대응 없음 | 원천 KE evidenceLevel=field_practice | 원천 promotionStatus=promoted | 원본 directive: 안전교육·TBM·사례전파 — 사례: 및 하부 서포트 임의제거 금지 등 교육 실시 Slab 판개 작업구간 안전고리 체결상태 확인관리 철저 정기 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조
KE_M_Fall_MatHandling_01,active,떨어짐,자재운반,,안전난간 설치·보강,공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(난간/설치) 수반 → 승격. 노출 채널 dwell_time (근거어: 난간).,FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,TRUE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전난간 설치·보강 — 사례: 부식 여부 확인 2. 작업 전 안전난간대 및 수평재 체결 상태에 대한 점검 3. 해체 작업 중 발생하는 수평 | CSI 근거 불충분 — 사람 재작성 필요
KE_M_Fall_MatHandling_02,excluded,떨어짐,자재운반,,안전교육·TBM·사례전파,관리적,,,FALSE,,,,[v2.5 TBM 원형 통합] 판정 대상 제외 (status=excluded),FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전교육·TBM·사례전파 — 사례: 작업자 안전교육 철저 / 작업자 병원 진료 지시 | v2.5 TBM 원형 통합 — 대표 KE_M_Caught_FormErection_01 참조
KE_M_Fall_Pour_01,active,떨어짐,타설,,"타설 중 안전난간을 존치한 상태로 작업이 가능하도록 난간 위치와 지지 상세를 설계에 반영하고, 후속 설비 설치 완료 전 해체를 배제",공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(난간/설치) 수반 → 승격. 노출 채널 dwell_time (근거어: 난간).,FALSE,REF_S35,공공데이터,,,,official_data,,,,,,FALSE,,,,,,,,,,,,,,,0,FALSE,원천 KE evidenceLevel=field_practice | 원본 directive: 안전난간 설치·보강 — 사례: 타설작업 시 안전난간대 해체하지않고 타설 후 덕트 설치가 끝나면 안전난간대 해체/나머지 ps | v2.4 directive: 안전난간 설치·보강
