task_id,task_name,start_date,end_date,duration_days,level,element_type,ifc_class,element_count,hazard_state,predecessors,description
1403,Basement 문 설치 (Day 3/4),2024-03-04,2024-03-04,1,Basement,문,IfcDoor,15,opening_covered,1402.0,"문 설치 (52개, 15개/일)"
1404,Basement 문 설치 (Day 4/4),2024-03-05,2024-03-05,1,Basement,문,IfcDoor,7,opening_covered,1403.0,"문 설치 (52개, 15개/일)"
15,Level 01 기둥 철근배근,2024-03-06,2024-03-11,6,Level_01,기둥,IfcColumn,0,edge_open,1404.0,"철근 배근 (90개, 15개/일)"
16,Level 01 기둥 거푸집,2024-03-12,2024-03-16,5,Level_01,기둥,IfcColumn,0,edge_open,15.0,"거푸집 설치 (90개, 20개/일)"
1701,Level 01 기둥 콘크리트 타설 (Day 1/3),2024-03-17,2024-03-17,1,Level_01,기둥,IfcColumn,30,edge_open,16.0,"콘크리트 타설 (90개, 30개/일)"
1702,Level 01 기둥 콘크리트 타설 (Day 2/3),2024-03-18,2024-03-18,1,Level_01,기둥,IfcColumn,30,edge_open,1701.0,"콘크리트 타설 (90개, 30개/일)"
1703,Level 01 기둥 콘크리트 타설 (Day 3/3),2024-03-19,2024-03-19,1,Level_01,기둥,IfcColumn,30,edge_open,1702.0,"콘크리트 타설 (90개, 30개/일)"
18,Level 01 기둥 양생,2024-03-20,2024-03-25,6,Level_01,양생,IfcColumn,0,,1703.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
19,Level 01 슬래브 거푸집+동바리,2024-03-26,2024-03-31,6,Level_01,슬래브,IfcSlab,0,opening_open,18.0,"거푸집+동바리 설치 (16개, 3개/일)"
20,Level 01 슬래브 철근배근,2024-04-01,2024-04-04,4,Level_01,슬래브,IfcSlab,0,opening_open,19.0,"슬래브 철근 배근 (16개, 4개/일)"
2101,Level 01 슬래브 콘크리트 타설 (Day 1/2),2024-04-05,2024-04-05,1,Level_01,슬래브,IfcSlab,8,opening_open,20.0,"슬래브 콘크리트 타설 (16개, 8개/일)"
2102,Level 01 슬래브 콘크리트 타설 (Day 2/2),2024-04-06,2024-04-06,1,Level_01,슬래브,IfcSlab,8,opening_open,2101.0,"슬래브 콘크리트 타설 (16개, 8개/일)"
22,Level 01 슬래브 양생,2024-04-07,2024-04-10,4,Level_01,양생,IfcSlab,0,,2102.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
23,Level 01 벽체 철근배근,2024-04-11,2024-04-23,13,Level_01,벽체,IfcWall,0,edge_open,22.0,"벽체 철근 배근 (126개, 10개/일)"
24,Level 01 벽체 거푸집,2024-04-24,2024-05-02,9,Level_01,벽체,IfcWall,0,edge_open,23.0,"벽체 거푸집 설치 (126개, 14개/일)"
2501,Level 01 벽체 콘크리트 타설 (Day 1/6),2024-05-03,2024-05-03,1,Level_01,벽체,IfcWall,25,edge_open,24.0,"벽체 콘크리트 타설 (126개, 25개/일)"
2502,Level 01 벽체 콘크리트 타설 (Day 2/6),2024-05-04,2024-05-04,1,Level_01,벽체,IfcWall,25,edge_open,2501.0,"벽체 콘크리트 타설 (126개, 25개/일)"
2503,Level 01 벽체 콘크리트 타설 (Day 3/6),2024-05-05,2024-05-05,1,Level_01,벽체,IfcWall,25,edge_open,2502.0,"벽체 콘크리트 타설 (126개, 25개/일)"
2504,Level 01 벽체 콘크리트 타설 (Day 4/6),2024-05-06,2024-05-06,1,Level_01,벽체,IfcWall,25,edge_open,2503.0,"벽체 콘크리트 타설 (126개, 25개/일)"
2505,Level 01 벽체 콘크리트 타설 (Day 5/6),2024-05-07,2024-05-07,1,Level_01,벽체,IfcWall,25,edge_open,2504.0,"벽체 콘크리트 타설 (126개, 25개/일)"
2506,Level 01 벽체 콘크리트 타설 (Day 6/6),2024-05-08,2024-05-08,1,Level_01,벽체,IfcWall,1,edge_open,2505.0,"벽체 콘크리트 타설 (126개, 25개/일)"
26,Level 01 벽체 양생,2024-05-09,2024-05-14,6,Level_01,양생,IfcWall,0,,2506.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
2701,Level 01 계단 설치 (Day 1/2),2024-05-15,2024-05-15,1,Level_01,계단,IfcStair,2,edge_protected,26.0,"계단 설치 (3개, 2개/일)"
2702,Level 01 계단 설치 (Day 2/2),2024-05-16,2024-05-16,1,Level_01,계단,IfcStair,1,edge_protected,2701.0,"계단 설치 (3개, 2개/일)"
2801,Level 01 난간 설치 (Day 1/2),2024-05-17,2024-05-17,1,Level_01,난간,IfcRailing,10,edge_protected,2702.0,"난간 설치 (11개, 10개/일)"
2802,Level 01 난간 설치 (Day 2/2),2024-05-18,2024-05-18,1,Level_01,난간,IfcRailing,1,edge_protected,2801.0,"난간 설치 (11개, 10개/일)"
2901,Level 01 문 설치 (Day 1/3),2024-05-19,2024-05-19,1,Level_01,문,IfcDoor,15,opening_covered,2802.0,"문 설치 (43개, 15개/일)"
2902,Level 01 문 설치 (Day 2/3),2024-05-20,2024-05-20,1,Level_01,문,IfcDoor,15,opening_covered,2901.0,"문 설치 (43개, 15개/일)"
2903,Level 01 문 설치 (Day 3/3),2024-05-21,2024-05-21,1,Level_01,문,IfcDoor,13,opening_covered,2902.0,"문 설치 (43개, 15개/일)"
3001,Level 01 창문 설치 (Day 1/2),2024-05-22,2024-05-22,1,Level_01,창문,IfcWindow,10,opening_covered,2903.0,"창문 설치 (18개, 10개/일)"
3002,Level 01 창문 설치 (Day 2/2),2024-05-23,2024-05-23,1,Level_01,창문,IfcWindow,8,opening_covered,3001.0,"창문 설치 (18개, 10개/일)"
31,Level 02a Parking 슬래브 거푸집+동바리,2024-05-24,2024-05-24,1,Level_02a_Parking,슬래브,IfcSlab,0,opening_open,3002.0,"거푸집+동바리 설치 (1개, 3개/일)"
32,Level 02a Parking 슬래브 철근배근,2024-05-25,2024-05-25,1,Level_02a_Parking,슬래브,IfcSlab,0,opening_open,31.0,"슬래브 철근 배근 (1개, 4개/일)"
33,Level 02a Parking 슬래브 콘크리트 타설,2024-05-26,2024-05-26,1,Level_02a_Parking,슬래브,IfcSlab,1,opening_open,32.0,"슬래브 콘크리트 타설 (1개, 8개/일)"
34,Level 02a Parking 슬래브 양생,2024-05-27,2024-05-30,4,Level_02a_Parking,양생,IfcSlab,0,,33.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
35,Level 02a Parking 벽체 철근배근,2024-05-31,2024-05-31,1,Level_02a_Parking,벽체,IfcWall,0,edge_open,34.0,"벽체 철근 배근 (4개, 10개/일)"
36,Level 02a Parking 벽체 거푸집,2024-06-01,2024-06-01,1,Level_02a_Parking,벽체,IfcWall,0,edge_open,35.0,"벽체 거푸집 설치 (4개, 14개/일)"
37,Level 02a Parking 벽체 콘크리트 타설,2024-06-02,2024-06-02,1,Level_02a_Parking,벽체,IfcWall,4,edge_open,36.0,"벽체 콘크리트 타설 (4개, 25개/일)"
38,Level 02a Parking 벽체 양생,2024-06-03,2024-06-08,6,Level_02a_Parking,양생,IfcWall,0,,37.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
39,Level 02a Parking 계단 설치,2024-06-09,2024-06-09,1,Level_02a_Parking,계단,IfcStair,1,edge_protected,38.0,"계단 설치 (1개, 2개/일)"
40,Level 02a Parking 난간 설치,2024-06-10,2024-06-10,1,Level_02a_Parking,난간,IfcRailing,2,edge_protected,39.0,"난간 설치 (2개, 10개/일)"
41,Level 02 기둥 철근배근,2024-06-11,2024-06-13,3,Level_02,기둥,IfcColumn,0,edge_open,40.0,"철근 배근 (38개, 15개/일)"
42,Level 02 기둥 거푸집,2024-06-14,2024-06-15,2,Level_02,기둥,IfcColumn,0,edge_open,41.0,"거푸집 설치 (38개, 20개/일)"
4301,Level 02 기둥 콘크리트 타설 (Day 1/2),2024-06-16,2024-06-16,1,Level_02,기둥,IfcColumn,30,edge_open,42.0,"콘크리트 타설 (38개, 30개/일)"
4302,Level 02 기둥 콘크리트 타설 (Day 2/2),2024-06-17,2024-06-17,1,Level_02,기둥,IfcColumn,8,edge_open,4301.0,"콘크리트 타설 (38개, 30개/일)"
44,Level 02 기둥 양생,2024-06-18,2024-06-23,6,Level_02,양생,IfcColumn,0,,4302.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
45,Level 02 슬래브 거푸집+동바리,2024-06-24,2024-06-24,1,Level_02,슬래브,IfcSlab,0,opening_open,44.0,"거푸집+동바리 설치 (2개, 3개/일)"
46,Level 02 슬래브 철근배근,2024-06-25,2024-06-25,1,Level_02,슬래브,IfcSlab,0,opening_open,45.0,"슬래브 철근 배근 (2개, 4개/일)"
47,Level 02 슬래브 콘크리트 타설,2024-06-26,2024-06-26,1,Level_02,슬래브,IfcSlab,2,opening_open,46.0,"슬래브 콘크리트 타설 (2개, 8개/일)"
48,Level 02 슬래브 양생,2024-06-27,2024-06-30,4,Level_02,양생,IfcSlab,0,,47.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
49,Level 02 벽체 철근배근,2024-07-01,2024-07-10,10,Level_02,벽체,IfcWall,0,edge_open,48.0,"벽체 철근 배근 (100개, 10개/일)"
50,Level 02 벽체 거푸집,2024-07-11,2024-07-18,8,Level_02,벽체,IfcWall,0,edge_open,49.0,"벽체 거푸집 설치 (100개, 14개/일)"
5101,Level 02 벽체 콘크리트 타설 (Day 1/4),2024-07-19,2024-07-19,1,Level_02,벽체,IfcWall,25,edge_open,50.0,"벽체 콘크리트 타설 (100개, 25개/일)"
5102,Level 02 벽체 콘크리트 타설 (Day 2/4),2024-07-20,2024-07-20,1,Level_02,벽체,IfcWall,25,edge_open,5101.0,"벽체 콘크리트 타설 (100개, 25개/일)"
5103,Level 02 벽체 콘크리트 타설 (Day 3/4),2024-07-21,2024-07-21,1,Level_02,벽체,IfcWall,25,edge_open,5102.0,"벽체 콘크리트 타설 (100개, 25개/일)"
5104,Level 02 벽체 콘크리트 타설 (Day 4/4),2024-07-22,2024-07-22,1,Level_02,벽체,IfcWall,25,edge_open,5103.0,"벽체 콘크리트 타설 (100개, 25개/일)"
52,Level 02 벽체 양생,2024-07-23,2024-07-28,6,Level_02,양생,IfcWall,0,,5104.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
53,Level 02 계단 설치,2024-07-29,2024-07-29,1,Level_02,계단,IfcStair,2,edge_protected,52.0,"계단 설치 (2개, 2개/일)"
5401,Level 02 문 설치 (Day 1/2),2024-07-30,2024-07-30,1,Level_02,문,IfcDoor,15,opening_covered,53.0,"문 설치 (29개, 15개/일)"
5402,Level 02 문 설치 (Day 2/2),2024-07-31,2024-07-31,1,Level_02,문,IfcDoor,14,opening_covered,5401.0,"문 설치 (29개, 15개/일)"
5501,Level 02 창문 설치 (Day 1/9),2024-08-01,2024-08-01,1,Level_02,창문,IfcWindow,10,opening_covered,5402.0,"창문 설치 (83개, 10개/일)"
5502,Level 02 창문 설치 (Day 2/9),2024-08-02,2024-08-02,1,Level_02,창문,IfcWindow,10,opening_covered,5501.0,"창문 설치 (83개, 10개/일)"
5503,Level 02 창문 설치 (Day 3/9),2024-08-03,2024-08-03,1,Level_02,창문,IfcWindow,10,opening_covered,5502.0,"창문 설치 (83개, 10개/일)"
5504,Level 02 창문 설치 (Day 4/9),2024-08-04,2024-08-04,1,Level_02,창문,IfcWindow,10,opening_covered,5503.0,"창문 설치 (83개, 10개/일)"
5505,Level 02 창문 설치 (Day 5/9),2024-08-05,2024-08-05,1,Level_02,창문,IfcWindow,10,opening_covered,5504.0,"창문 설치 (83개, 10개/일)"
5506,Level 02 창문 설치 (Day 6/9),2024-08-06,2024-08-06,1,Level_02,창문,IfcWindow,10,opening_covered,5505.0,"창문 설치 (83개, 10개/일)"
5507,Level 02 창문 설치 (Day 7/9),2024-08-07,2024-08-07,1,Level_02,창문,IfcWindow,10,opening_covered,5506.0,"창문 설치 (83개, 10개/일)"
5508,Level 02 창문 설치 (Day 8/9),2024-08-08,2024-08-08,1,Level_02,창문,IfcWindow,10,opening_covered,5507.0,"창문 설치 (83개, 10개/일)"
5509,Level 02 창문 설치 (Day 9/9),2024-08-09,2024-08-09,1,Level_02,창문,IfcWindow,3,opening_covered,5508.0,"창문 설치 (83개, 10개/일)"
56,Level 03 기둥 철근배근,2024-08-10,2024-08-12,3,Level_03,기둥,IfcColumn,0,edge_open,5509.0,"철근 배근 (38개, 15개/일)"
57,Level 03 기둥 거푸집,2024-08-13,2024-08-14,2,Level_03,기둥,IfcColumn,0,edge_open,56.0,"거푸집 설치 (38개, 20개/일)"
5801,Level 03 기둥 콘크리트 타설 (Day 1/2),2024-08-15,2024-08-15,1,Level_03,기둥,IfcColumn,30,edge_open,57.0,"콘크리트 타설 (38개, 30개/일)"
5802,Level 03 기둥 콘크리트 타설 (Day 2/2),2024-08-16,2024-08-16,1,Level_03,기둥,IfcColumn,8,edge_open,5801.0,"콘크리트 타설 (38개, 30개/일)"
59,Level 03 기둥 양생,2024-08-17,2024-08-22,6,Level_03,양생,IfcColumn,0,,5802.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
60,Level 03 슬래브 거푸집+동바리,2024-08-23,2024-08-23,1,Level_03,슬래브,IfcSlab,0,opening_open,59.0,"거푸집+동바리 설치 (3개, 3개/일)"
61,Level 03 슬래브 철근배근,2024-08-24,2024-08-24,1,Level_03,슬래브,IfcSlab,0,opening_open,60.0,"슬래브 철근 배근 (3개, 4개/일)"
62,Level 03 슬래브 콘크리트 타설,2024-08-25,2024-08-25,1,Level_03,슬래브,IfcSlab,3,opening_open,61.0,"슬래브 콘크리트 타설 (3개, 8개/일)"
63,Level 03 슬래브 양생,2024-08-26,2024-08-29,4,Level_03,양생,IfcSlab,0,,62.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
64,Level 03 벽체 철근배근,2024-08-30,2024-09-08,10,Level_03,벽체,IfcWall,0,edge_open,63.0,"벽체 철근 배근 (100개, 10개/일)"
65,Level 03 벽체 거푸집,2024-09-09,2024-09-16,8,Level_03,벽체,IfcWall,0,edge_open,64.0,"벽체 거푸집 설치 (100개, 14개/일)"
6601,Level 03 벽체 콘크리트 타설 (Day 1/4),2024-09-17,2024-09-17,1,Level_03,벽체,IfcWall,25,edge_open,65.0,"벽체 콘크리트 타설 (100개, 25개/일)"
6602,Level 03 벽체 콘크리트 타설 (Day 2/4),2024-09-18,2024-09-18,1,Level_03,벽체,IfcWall,25,edge_open,6601.0,"벽체 콘크리트 타설 (100개, 25개/일)"
6603,Level 03 벽체 콘크리트 타설 (Day 3/4),2024-09-19,2024-09-19,1,Level_03,벽체,IfcWall,25,edge_open,6602.0,"벽체 콘크리트 타설 (100개, 25개/일)"
6604,Level 03 벽체 콘크리트 타설 (Day 4/4),2024-09-20,2024-09-20,1,Level_03,벽체,IfcWall,25,edge_open,6603.0,"벽체 콘크리트 타설 (100개, 25개/일)"
67,Level 03 벽체 양생,2024-09-21,2024-09-26,6,Level_03,양생,IfcWall,0,,6604.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
68,Level 03 계단 설치,2024-09-27,2024-09-27,1,Level_03,계단,IfcStair,2,edge_protected,67.0,"계단 설치 (2개, 2개/일)"
6901,Level 03 문 설치 (Day 1/3),2024-09-28,2024-09-28,1,Level_03,문,IfcDoor,15,opening_covered,68.0,"문 설치 (32개, 15개/일)"
6902,Level 03 문 설치 (Day 2/3),2024-09-29,2024-09-29,1,Level_03,문,IfcDoor,15,opening_covered,6901.0,"문 설치 (32개, 15개/일)"
6903,Level 03 문 설치 (Day 3/3),2024-09-30,2024-09-30,1,Level_03,문,IfcDoor,2,opening_covered,6902.0,"문 설치 (32개, 15개/일)"
7001,Level 03 창문 설치 (Day 1/9),2024-10-01,2024-10-01,1,Level_03,창문,IfcWindow,10,opening_covered,6903.0,"창문 설치 (84개, 10개/일)"
7002,Level 03 창문 설치 (Day 2/9),2024-10-02,2024-10-02,1,Level_03,창문,IfcWindow,10,opening_covered,7001.0,"창문 설치 (84개, 10개/일)"
7003,Level 03 창문 설치 (Day 3/9),2024-10-03,2024-10-03,1,Level_03,창문,IfcWindow,10,opening_covered,7002.0,"창문 설치 (84개, 10개/일)"
7004,Level 03 창문 설치 (Day 4/9),2024-10-04,2024-10-04,1,Level_03,창문,IfcWindow,10,opening_covered,7003.0,"창문 설치 (84개, 10개/일)"
7005,Level 03 창문 설치 (Day 5/9),2024-10-05,2024-10-05,1,Level_03,창문,IfcWindow,10,opening_covered,7004.0,"창문 설치 (84개, 10개/일)"
7006,Level 03 창문 설치 (Day 6/9),2024-10-06,2024-10-06,1,Level_03,창문,IfcWindow,10,opening_covered,7005.0,"창문 설치 (84개, 10개/일)"
7007,Level 03 창문 설치 (Day 7/9),2024-10-07,2024-10-07,1,Level_03,창문,IfcWindow,10,opening_covered,7006.0,"창문 설치 (84개, 10개/일)"
7008,Level 03 창문 설치 (Day 8/9),2024-10-08,2024-10-08,1,Level_03,창문,IfcWindow,10,opening_covered,7007.0,"창문 설치 (84개, 10개/일)"
7009,Level 03 창문 설치 (Day 9/9),2024-10-09,2024-10-09,1,Level_03,창문,IfcWindow,4,opening_covered,7008.0,"창문 설치 (84개, 10개/일)"
71,Level 04 기둥 철근배근,2024-10-10,2024-10-12,3,Level_04,기둥,IfcColumn,0,edge_open,7009.0,"철근 배근 (38개, 15개/일)"
72,Level 04 기둥 거푸집,2024-10-13,2024-10-14,2,Level_04,기둥,IfcColumn,0,edge_open,71.0,"거푸집 설치 (38개, 20개/일)"
7301,Level 04 기둥 콘크리트 타설 (Day 1/2),2024-10-15,2024-10-15,1,Level_04,기둥,IfcColumn,30,edge_open,72.0,"콘크리트 타설 (38개, 30개/일)"
7302,Level 04 기둥 콘크리트 타설 (Day 2/2),2024-10-16,2024-10-16,1,Level_04,기둥,IfcColumn,8,edge_open,7301.0,"콘크리트 타설 (38개, 30개/일)"
74,Level 04 기둥 양생,2024-10-17,2024-10-22,6,Level_04,양생,IfcColumn,0,,7302.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
75,Level 04 슬래브 거푸집+동바리,2024-10-23,2024-10-23,1,Level_04,슬래브,IfcSlab,0,opening_open,74.0,"거푸집+동바리 설치 (3개, 3개/일)"
76,Level 04 슬래브 철근배근,2024-10-24,2024-10-24,1,Level_04,슬래브,IfcSlab,0,opening_open,75.0,"슬래브 철근 배근 (3개, 4개/일)"
77,Level 04 슬래브 콘크리트 타설,2024-10-25,2024-10-25,1,Level_04,슬래브,IfcSlab,3,opening_open,76.0,"슬래브 콘크리트 타설 (3개, 8개/일)"
78,Level 04 슬래브 양생,2024-10-26,2024-10-29,4,Level_04,양생,IfcSlab,0,,77.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
79,Level 04 벽체 철근배근,2024-10-30,2024-11-09,11,Level_04,벽체,IfcWall,0,edge_open,78.0,"벽체 철근 배근 (102개, 10개/일)"
80,Level 04 벽체 거푸집,2024-11-10,2024-11-17,8,Level_04,벽체,IfcWall,0,edge_open,79.0,"벽체 거푸집 설치 (102개, 14개/일)"
8101,Level 04 벽체 콘크리트 타설 (Day 1/5),2024-11-18,2024-11-18,1,Level_04,벽체,IfcWall,25,edge_open,80.0,"벽체 콘크리트 타설 (102개, 25개/일)"
8102,Level 04 벽체 콘크리트 타설 (Day 2/5),2024-11-19,2024-11-19,1,Level_04,벽체,IfcWall,25,edge_open,8101.0,"벽체 콘크리트 타설 (102개, 25개/일)"
8103,Level 04 벽체 콘크리트 타설 (Day 3/5),2024-11-20,2024-11-20,1,Level_04,벽체,IfcWall,25,edge_open,8102.0,"벽체 콘크리트 타설 (102개, 25개/일)"
8104,Level 04 벽체 콘크리트 타설 (Day 4/5),2024-11-21,2024-11-21,1,Level_04,벽체,IfcWall,25,edge_open,8103.0,"벽체 콘크리트 타설 (102개, 25개/일)"
8105,Level 04 벽체 콘크리트 타설 (Day 5/5),2024-11-22,2024-11-22,1,Level_04,벽체,IfcWall,2,edge_open,8104.0,"벽체 콘크리트 타설 (102개, 25개/일)"
82,Level 04 벽체 양생,2024-11-23,2024-11-28,6,Level_04,양생,IfcWall,0,,8105.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
83,Level 04 계단 설치,2024-11-29,2024-11-29,1,Level_04,계단,IfcStair,2,edge_protected,82.0,"계단 설치 (2개, 2개/일)"
8401,Level 04 문 설치 (Day 1/3),2024-11-30,2024-11-30,1,Level_04,문,IfcDoor,15,opening_covered,83.0,"문 설치 (32개, 15개/일)"
8402,Level 04 문 설치 (Day 2/3),2024-12-01,2024-12-01,1,Level_04,문,IfcDoor,15,opening_covered,8401.0,"문 설치 (32개, 15개/일)"
8403,Level 04 문 설치 (Day 3/3),2024-12-02,2024-12-02,1,Level_04,문,IfcDoor,2,opening_covered,8402.0,"문 설치 (32개, 15개/일)"
8501,Level 04 창문 설치 (Day 1/9),2024-12-03,2024-12-03,1,Level_04,창문,IfcWindow,10,opening_covered,8403.0,"창문 설치 (84개, 10개/일)"
8502,Level 04 창문 설치 (Day 2/9),2024-12-04,2024-12-04,1,Level_04,창문,IfcWindow,10,opening_covered,8501.0,"창문 설치 (84개, 10개/일)"
8503,Level 04 창문 설치 (Day 3/9),2024-12-05,2024-12-05,1,Level_04,창문,IfcWindow,10,opening_covered,8502.0,"창문 설치 (84개, 10개/일)"
8504,Level 04 창문 설치 (Day 4/9),2024-12-06,2024-12-06,1,Level_04,창문,IfcWindow,10,opening_covered,8503.0,"창문 설치 (84개, 10개/일)"
8505,Level 04 창문 설치 (Day 5/9),2024-12-07,2024-12-07,1,Level_04,창문,IfcWindow,10,opening_covered,8504.0,"창문 설치 (84개, 10개/일)"
8506,Level 04 창문 설치 (Day 6/9),2024-12-08,2024-12-08,1,Level_04,창문,IfcWindow,10,opening_covered,8505.0,"창문 설치 (84개, 10개/일)"
8507,Level 04 창문 설치 (Day 7/9),2024-12-09,2024-12-09,1,Level_04,창문,IfcWindow,10,opening_covered,8506.0,"창문 설치 (84개, 10개/일)"
8508,Level 04 창문 설치 (Day 8/9),2024-12-10,2024-12-10,1,Level_04,창문,IfcWindow,10,opening_covered,8507.0,"창문 설치 (84개, 10개/일)"
8509,Level 04 창문 설치 (Day 9/9),2024-12-11,2024-12-11,1,Level_04,창문,IfcWindow,4,opening_covered,8508.0,"창문 설치 (84개, 10개/일)"
86,Level 05 기둥 철근배근,2024-12-12,2024-12-14,3,Level_05,기둥,IfcColumn,0,edge_open,8509.0,"철근 배근 (43개, 15개/일)"
87,Level 05 기둥 거푸집,2024-12-15,2024-12-17,3,Level_05,기둥,IfcColumn,0,edge_open,86.0,"거푸집 설치 (43개, 20개/일)"
8801,Level 05 기둥 콘크리트 타설 (Day 1/2),2024-12-18,2024-12-18,1,Level_05,기둥,IfcColumn,30,edge_open,87.0,"콘크리트 타설 (43개, 30개/일)"
8802,Level 05 기둥 콘크리트 타설 (Day 2/2),2024-12-19,2024-12-19,1,Level_05,기둥,IfcColumn,13,edge_open,8801.0,"콘크리트 타설 (43개, 30개/일)"
89,Level 05 기둥 양생,2024-12-20,2024-12-25,6,Level_05,양생,IfcColumn,0,,8802.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
90,Level 05 보 거푸집,2024-12-26,2024-12-27,2,Level_05,보,IfcBeam,0,edge_open,89.0,"보 거푸집 설치 (8개, 4개/일)"
91,Level 05 보 철근배근,2024-12-28,2024-12-29,2,Level_05,보,IfcBeam,0,edge_open,90.0,"보 철근 배근 (8개, 4개/일)"
