task_id,task_name,start_date,end_date,duration_days,level,element_type,ifc_class,element_count,hazard_state,predecessors,description,lag_days,origin
10,Basement 벽체 거푸집,2024-02-08,2024-02-16,9,Basement,벽체,IfcWall,0,edge_open,9.0,"벽체 거푸집 설치 (124개, 14개/일)",0,original
9104,Basement 철근 소진·정리,2024-02-08,2024-02-08,1,Basement,자재,IfcWall,0,edge_open,9,"철근 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 9 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
1101,Basement 벽체 콘크리트 타설 (Day 1/5),2024-02-17,2024-02-17,1,Basement,벽체,IfcWall,25,edge_open,10.0,"벽체 콘크리트 타설 (124개, 25개/일)",0,original
9102,Basement 거푸집 소진·정리,2024-02-17,2024-02-17,1,Basement,자재,IfcWall,0,edge_open,10,"거푸집 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 10 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
1102,Basement 벽체 콘크리트 타설 (Day 2/5),2024-02-18,2024-02-18,1,Basement,벽체,IfcWall,25,edge_open,1101.0,"벽체 콘크리트 타설 (124개, 25개/일)",0,original
1103,Basement 벽체 콘크리트 타설 (Day 3/5),2024-02-19,2024-02-19,1,Basement,벽체,IfcWall,25,edge_open,1102.0,"벽체 콘크리트 타설 (124개, 25개/일)",0,original
1104,Basement 벽체 콘크리트 타설 (Day 4/5),2024-02-20,2024-02-20,1,Basement,벽체,IfcWall,25,edge_open,1103.0,"벽체 콘크리트 타설 (124개, 25개/일)",0,original
1105,Basement 벽체 콘크리트 타설 (Day 5/5),2024-02-21,2024-02-21,1,Basement,벽체,IfcWall,24,edge_open,1104.0,"벽체 콘크리트 타설 (124개, 25개/일)",0,original
12,Basement 벽체 양생,2024-02-22,2024-02-27,6,Basement,양생,IfcWall,0,,1105.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
9106,Basement 콘크리트 소진·정리,2024-02-22,2024-02-22,1,Basement,자재,IfcWall,24,edge_open,1105,"콘크리트 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 1105 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
9109,Level 01 철근 반입,2024-02-22,2024-02-22,1,Level_01,자재,IfcColumn,0,edge_open,1105,"철근 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 15 착수 전 완료되도록 선행의 선행(1105)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
15,Level 01 기둥 철근배근,2024-02-28,2024-03-04,6,Level_01,기둥,IfcColumn,0,edge_open,"12,9109","철근 배근 (90개, 15개/일)",0,original
1301,Basement 계단 설치 (Day 1/3),2024-02-28,2024-02-28,1,Basement,계단,IfcStair,2,edge_protected,12.0,"계단 설치 (5개, 2개/일)",0,original
9107,Level 01 거푸집 반입,2024-02-28,2024-02-28,1,Level_01,자재,IfcColumn,0,edge_open,12,"거푸집 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 16 착수 전 완료되도록 선행의 선행(12)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
1302,Basement 계단 설치 (Day 2/3),2024-02-29,2024-02-29,1,Basement,계단,IfcStair,2,edge_protected,1301.0,"계단 설치 (5개, 2개/일)",0,original
1303,Basement 계단 설치 (Day 3/3),2024-03-01,2024-03-01,1,Basement,계단,IfcStair,1,edge_protected,1302.0,"계단 설치 (5개, 2개/일)",0,original
1401,Basement 문 설치 (Day 1/4),2024-03-02,2024-03-02,1,Basement,문,IfcDoor,15,opening_covered,1303.0,"문 설치 (52개, 15개/일)",0,original
1402,Basement 문 설치 (Day 2/4),2024-03-03,2024-03-03,1,Basement,문,IfcDoor,15,opening_covered,1401.0,"문 설치 (52개, 15개/일)",0,original
1403,Basement 문 설치 (Day 3/4),2024-03-04,2024-03-04,1,Basement,문,IfcDoor,15,opening_covered,1402.0,"문 설치 (52개, 15개/일)",0,original
16,Level 01 기둥 거푸집,2024-03-05,2024-03-09,5,Level_01,기둥,IfcColumn,0,edge_open,"15,9107","거푸집 설치 (90개, 20개/일)",0,original
1404,Basement 문 설치 (Day 4/4),2024-03-05,2024-03-05,1,Basement,문,IfcDoor,7,opening_covered,1403.0,"문 설치 (52개, 15개/일)",0,original
9111,Level 01 콘크리트 반입,2024-03-05,2024-03-05,1,Level_01,자재,IfcColumn,30,edge_open,15,"콘크리트 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 1701 착수 전 완료되도록 선행의 선행(15)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
1701,Level 01 기둥 콘크리트 타설 (Day 1/3),2024-03-10,2024-03-10,1,Level_01,기둥,IfcColumn,30,edge_open,"16,9111","콘크리트 타설 (90개, 30개/일)",0,original
1702,Level 01 기둥 콘크리트 타설 (Day 2/3),2024-03-11,2024-03-11,1,Level_01,기둥,IfcColumn,30,edge_open,1701.0,"콘크리트 타설 (90개, 30개/일)",0,original
1703,Level 01 기둥 콘크리트 타설 (Day 3/3),2024-03-12,2024-03-12,1,Level_01,기둥,IfcColumn,30,edge_open,1702.0,"콘크리트 타설 (90개, 30개/일)",0,original
18,Level 01 기둥 양생,2024-03-13,2024-03-18,6,Level_01,양생,IfcColumn,0,,1703.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
19,Level 01 슬래브 거푸집+동바리,2024-03-19,2024-03-24,6,Level_01,슬래브,IfcSlab,0,edge_open,18.0,"거푸집+동바리 설치 (16개, 3개/일)",0,original
20,Level 01 슬래브 철근배근,2024-03-25,2024-03-28,4,Level_01,슬래브,IfcSlab,0,edge_open,19.0,"슬래브 철근 배근 (16개, 4개/일)",0,original
2101,Level 01 슬래브 콘크리트 타설 (Day 1/2),2024-03-29,2024-03-29,1,Level_01,슬래브,IfcSlab,8,edge_open,20.0,"슬래브 콘크리트 타설 (16개, 8개/일)",0,original
2102,Level 01 슬래브 콘크리트 타설 (Day 2/2),2024-03-30,2024-03-30,1,Level_01,슬래브,IfcSlab,8,edge_open,2101.0,"슬래브 콘크리트 타설 (16개, 8개/일)",0,original
22,Level 01 슬래브 양생,2024-03-31,2024-04-03,4,Level_01,양생,IfcSlab,0,opening_open,2102.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)",0,original
23,Level 01 벽체 철근배근,2024-04-04,2024-04-16,13,Level_01,벽체,IfcWall,0,edge_open,22.0,"벽체 철근 배근 (126개, 10개/일)",0,original
9002,Level 01 슬래브 거푸집·동바리 해체,2024-04-04,2024-04-09,6,Level_01,슬래브,IfcSlab,0,edge_open,22,"거푸집·동바리 해체 (Part1 신설). 선행=Level_01 슬래브 양생, 존치 추가지연 retention_days=0일, 기간=설치작업 19 기간 6일",0,augment:strip
24,Level 01 벽체 거푸집,2024-04-17,2024-04-25,9,Level_01,벽체,IfcWall,0,edge_open,23.0,"벽체 거푸집 설치 (126개, 14개/일)",0,original
9110,Level 01 철근 소진·정리,2024-04-17,2024-04-17,1,Level_01,자재,IfcWall,0,edge_open,23,"철근 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 23 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
2501,Level 01 벽체 콘크리트 타설 (Day 1/6),2024-04-26,2024-04-26,1,Level_01,벽체,IfcWall,25,edge_open,24.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
9108,Level 01 거푸집 소진·정리,2024-04-26,2024-04-26,1,Level_01,자재,IfcWall,0,edge_open,24,"거푸집 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 24 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
2502,Level 01 벽체 콘크리트 타설 (Day 2/6),2024-04-27,2024-04-27,1,Level_01,벽체,IfcWall,25,edge_open,2501.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
2503,Level 01 벽체 콘크리트 타설 (Day 3/6),2024-04-28,2024-04-28,1,Level_01,벽체,IfcWall,25,edge_open,2502.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
2504,Level 01 벽체 콘크리트 타설 (Day 4/6),2024-04-29,2024-04-29,1,Level_01,벽체,IfcWall,25,edge_open,2503.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
2505,Level 01 벽체 콘크리트 타설 (Day 5/6),2024-04-30,2024-04-30,1,Level_01,벽체,IfcWall,25,edge_open,2504.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
2506,Level 01 벽체 콘크리트 타설 (Day 6/6),2024-05-01,2024-05-01,1,Level_01,벽체,IfcWall,1,edge_open,2505.0,"벽체 콘크리트 타설 (126개, 25개/일)",0,original
26,Level 01 벽체 양생,2024-05-02,2024-05-07,6,Level_01,양생,IfcWall,0,,2506.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
9112,Level 01 콘크리트 소진·정리,2024-05-02,2024-05-02,1,Level_01,자재,IfcWall,1,edge_open,2506,"콘크리트 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 2506 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
9113,Level 02a Parking 거푸집 반입,2024-05-02,2024-05-02,1,Level_02a_Parking,자재,IfcSlab,0,edge_open,2506,"거푸집 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 31 착수 전 완료되도록 선행의 선행(2506)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
31,Level 02a Parking 슬래브 거푸집+동바리,2024-05-08,2024-05-08,1,Level_02a_Parking,슬래브,IfcSlab,0,edge_open,"26,9113","거푸집+동바리 설치 (1개, 3개/일)",0,original
2701,Level 01 계단 설치 (Day 1/2),2024-05-08,2024-05-08,1,Level_01,계단,IfcStair,2,edge_protected,26.0,"계단 설치 (3개, 2개/일)",0,original
9115,Level 02a Parking 철근 반입,2024-05-08,2024-05-08,1,Level_02a_Parking,자재,IfcSlab,0,edge_open,26,"철근 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 32 착수 전 완료되도록 선행의 선행(26)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
32,Level 02a Parking 슬래브 철근배근,2024-05-09,2024-05-09,1,Level_02a_Parking,슬래브,IfcSlab,0,edge_open,"31,9115","슬래브 철근 배근 (1개, 4개/일)",0,original
2702,Level 01 계단 설치 (Day 2/2),2024-05-09,2024-05-09,1,Level_01,계단,IfcStair,1,edge_protected,2701.0,"계단 설치 (3개, 2개/일)",0,original
9117,Level 02a Parking 콘크리트 반입,2024-05-09,2024-05-09,1,Level_02a_Parking,자재,IfcSlab,1,edge_open,31,"콘크리트 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 33 착수 전 완료되도록 선행의 선행(31)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
33,Level 02a Parking 슬래브 콘크리트 타설,2024-05-10,2024-05-10,1,Level_02a_Parking,슬래브,IfcSlab,1,edge_open,"32,9117","슬래브 콘크리트 타설 (1개, 8개/일)",0,original
2801,Level 01 난간 설치 (Day 1/2),2024-05-10,2024-05-10,1,Level_01,난간,IfcRailing,10,edge_protected,2702.0,"난간 설치 (11개, 10개/일)",0,original
34,Level 02a Parking 슬래브 양생,2024-05-11,2024-05-14,4,Level_02a_Parking,양생,IfcSlab,0,opening_open,33.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)",0,original
2802,Level 01 난간 설치 (Day 2/2),2024-05-11,2024-05-11,1,Level_01,난간,IfcRailing,1,edge_protected,2801.0,"난간 설치 (11개, 10개/일)",0,original
2901,Level 01 문 설치 (Day 1/3),2024-05-12,2024-05-12,1,Level_01,문,IfcDoor,15,opening_covered,2802.0,"문 설치 (43개, 15개/일)",0,original
2902,Level 01 문 설치 (Day 2/3),2024-05-13,2024-05-13,1,Level_01,문,IfcDoor,15,opening_covered,2901.0,"문 설치 (43개, 15개/일)",0,original
2903,Level 01 문 설치 (Day 3/3),2024-05-14,2024-05-14,1,Level_01,문,IfcDoor,13,opening_covered,2902.0,"문 설치 (43개, 15개/일)",0,original
35,Level 02a Parking 벽체 철근배근,2024-05-15,2024-05-15,1,Level_02a_Parking,벽체,IfcWall,0,edge_open,34.0,"벽체 철근 배근 (4개, 10개/일)",0,original
3001,Level 01 창문 설치 (Day 1/2),2024-05-15,2024-05-15,1,Level_01,창문,IfcWindow,10,opening_covered,2903.0,"창문 설치 (18개, 10개/일)",0,original
9003,Level 02a Parking 슬래브 거푸집·동바리 해체,2024-05-15,2024-05-15,1,Level_02a_Parking,슬래브,IfcSlab,0,edge_open,34,"거푸집·동바리 해체 (Part1 신설). 선행=Level_02a_Parking 슬래브 양생, 존치 추가지연 retention_days=0일, 기간=설치작업 31 기간 1일",0,augment:strip
36,Level 02a Parking 벽체 거푸집,2024-05-16,2024-05-16,1,Level_02a_Parking,벽체,IfcWall,0,edge_open,35.0,"벽체 거푸집 설치 (4개, 14개/일)",0,original
3002,Level 01 창문 설치 (Day 2/2),2024-05-16,2024-05-16,1,Level_01,창문,IfcWindow,8,opening_covered,3001.0,"창문 설치 (18개, 10개/일)",0,original
9116,Level 02a Parking 철근 소진·정리,2024-05-16,2024-05-16,1,Level_02a_Parking,자재,IfcWall,0,edge_open,35,"철근 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 35 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
37,Level 02a Parking 벽체 콘크리트 타설,2024-05-17,2024-05-17,1,Level_02a_Parking,벽체,IfcWall,4,edge_open,36.0,"벽체 콘크리트 타설 (4개, 25개/일)",0,original
9114,Level 02a Parking 거푸집 소진·정리,2024-05-17,2024-05-17,1,Level_02a_Parking,자재,IfcWall,0,edge_open,36,"거푸집 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 36 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
38,Level 02a Parking 벽체 양생,2024-05-18,2024-05-23,6,Level_02a_Parking,양생,IfcWall,0,,37.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
9118,Level 02a Parking 콘크리트 소진·정리,2024-05-18,2024-05-18,1,Level_02a_Parking,자재,IfcWall,4,edge_open,37,"콘크리트 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 37 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
9121,Level 02 철근 반입,2024-05-18,2024-05-18,1,Level_02,자재,IfcColumn,0,edge_open,37,"철근 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 41 착수 전 완료되도록 선행의 선행(37)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
39,Level 02a Parking 계단 설치,2024-05-24,2024-05-24,1,Level_02a_Parking,계단,IfcStair,1,edge_protected,38.0,"계단 설치 (1개, 2개/일)",0,original
41,Level 02 기둥 철근배근,2024-05-24,2024-05-26,3,Level_02,기둥,IfcColumn,0,edge_open,"38,9121","철근 배근 (38개, 15개/일)",0,original
9119,Level 02 거푸집 반입,2024-05-24,2024-05-24,1,Level_02,자재,IfcColumn,0,edge_open,38,"거푸집 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 42 착수 전 완료되도록 선행의 선행(38)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
40,Level 02a Parking 난간 설치,2024-05-25,2024-05-25,1,Level_02a_Parking,난간,IfcRailing,2,edge_protected,39.0,"난간 설치 (2개, 10개/일)",0,original
42,Level 02 기둥 거푸집,2024-05-27,2024-05-28,2,Level_02,기둥,IfcColumn,0,edge_open,"41,9119","거푸집 설치 (38개, 20개/일)",0,original
9123,Level 02 콘크리트 반입,2024-05-27,2024-05-27,1,Level_02,자재,IfcColumn,30,edge_open,41,"콘크리트 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 4301 착수 전 완료되도록 선행의 선행(41)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
4301,Level 02 기둥 콘크리트 타설 (Day 1/2),2024-05-29,2024-05-29,1,Level_02,기둥,IfcColumn,30,edge_open,"42,9123","콘크리트 타설 (38개, 30개/일)",0,original
4302,Level 02 기둥 콘크리트 타설 (Day 2/2),2024-05-30,2024-05-30,1,Level_02,기둥,IfcColumn,8,edge_open,4301.0,"콘크리트 타설 (38개, 30개/일)",0,original
44,Level 02 기둥 양생,2024-05-31,2024-06-05,6,Level_02,양생,IfcColumn,0,,4302.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
45,Level 02 슬래브 거푸집+동바리,2024-06-06,2024-06-06,1,Level_02,슬래브,IfcSlab,0,edge_open,44.0,"거푸집+동바리 설치 (2개, 3개/일)",0,original
46,Level 02 슬래브 철근배근,2024-06-07,2024-06-07,1,Level_02,슬래브,IfcSlab,0,edge_open,45.0,"슬래브 철근 배근 (2개, 4개/일)",0,original
47,Level 02 슬래브 콘크리트 타설,2024-06-08,2024-06-08,1,Level_02,슬래브,IfcSlab,2,edge_open,46.0,"슬래브 콘크리트 타설 (2개, 8개/일)",0,original
48,Level 02 슬래브 양생,2024-06-09,2024-06-12,4,Level_02,양생,IfcSlab,0,opening_open,47.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)",0,original
49,Level 02 벽체 철근배근,2024-06-13,2024-06-22,10,Level_02,벽체,IfcWall,0,edge_open,48.0,"벽체 철근 배근 (100개, 10개/일)",0,original
9004,Level 02 슬래브 거푸집·동바리 해체,2024-06-13,2024-06-13,1,Level_02,슬래브,IfcSlab,0,edge_open,48,"거푸집·동바리 해체 (Part1 신설). 선행=Level_02 슬래브 양생, 존치 추가지연 retention_days=0일, 기간=설치작업 45 기간 1일",0,augment:strip
50,Level 02 벽체 거푸집,2024-06-23,2024-06-30,8,Level_02,벽체,IfcWall,0,edge_open,49.0,"벽체 거푸집 설치 (100개, 14개/일)",0,original
9122,Level 02 철근 소진·정리,2024-06-23,2024-06-23,1,Level_02,자재,IfcWall,0,edge_open,49,"철근 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 49 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
5101,Level 02 벽체 콘크리트 타설 (Day 1/4),2024-07-01,2024-07-01,1,Level_02,벽체,IfcWall,25,edge_open,50.0,"벽체 콘크리트 타설 (100개, 25개/일)",0,original
9120,Level 02 거푸집 소진·정리,2024-07-01,2024-07-01,1,Level_02,자재,IfcWall,0,edge_open,50,"거푸집 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 50 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
5102,Level 02 벽체 콘크리트 타설 (Day 2/4),2024-07-02,2024-07-02,1,Level_02,벽체,IfcWall,25,edge_open,5101.0,"벽체 콘크리트 타설 (100개, 25개/일)",0,original
5103,Level 02 벽체 콘크리트 타설 (Day 3/4),2024-07-03,2024-07-03,1,Level_02,벽체,IfcWall,25,edge_open,5102.0,"벽체 콘크리트 타설 (100개, 25개/일)",0,original
5104,Level 02 벽체 콘크리트 타설 (Day 4/4),2024-07-04,2024-07-04,1,Level_02,벽체,IfcWall,25,edge_open,5103.0,"벽체 콘크리트 타설 (100개, 25개/일)",0,original
52,Level 02 벽체 양생,2024-07-05,2024-07-10,6,Level_02,양생,IfcWall,0,,5104.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
9124,Level 02 콘크리트 소진·정리,2024-07-05,2024-07-05,1,Level_02,자재,IfcWall,25,edge_open,5104,"콘크리트 자재 소진·정리 (v2.6 신설, workType=consume_or_remove). 소비 공정 5104 완료에 종속. 기간 1일은 근거 없음(최소 단위).",0,augment:material
9127,Level 03 철근 반입,2024-07-05,2024-07-05,1,Level_03,자재,IfcColumn,0,edge_open,5104,"철근 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 56 착수 전 완료되도록 선행의 선행(5104)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
53,Level 02 계단 설치,2024-07-11,2024-07-11,1,Level_02,계단,IfcStair,2,edge_protected,52.0,"계단 설치 (2개, 2개/일)",0,original
56,Level 03 기둥 철근배근,2024-07-11,2024-07-13,3,Level_03,기둥,IfcColumn,0,edge_open,"52,9127","철근 배근 (38개, 15개/일)",0,original
9125,Level 03 거푸집 반입,2024-07-11,2024-07-11,1,Level_03,자재,IfcColumn,0,edge_open,52,"거푸집 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 57 착수 전 완료되도록 선행의 선행(52)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
5401,Level 02 문 설치 (Day 1/2),2024-07-12,2024-07-12,1,Level_02,문,IfcDoor,15,opening_covered,53.0,"문 설치 (29개, 15개/일)",0,original
5402,Level 02 문 설치 (Day 2/2),2024-07-13,2024-07-13,1,Level_02,문,IfcDoor,14,opening_covered,5401.0,"문 설치 (29개, 15개/일)",0,original
57,Level 03 기둥 거푸집,2024-07-14,2024-07-15,2,Level_03,기둥,IfcColumn,0,edge_open,"56,9125","거푸집 설치 (38개, 20개/일)",0,original
5501,Level 02 창문 설치 (Day 1/9),2024-07-14,2024-07-14,1,Level_02,창문,IfcWindow,10,opening_covered,5402.0,"창문 설치 (83개, 10개/일)",0,original
9129,Level 03 콘크리트 반입,2024-07-14,2024-07-14,1,Level_03,자재,IfcColumn,30,edge_open,56,"콘크리트 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 5801 착수 전 완료되도록 선행의 선행(56)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
5502,Level 02 창문 설치 (Day 2/9),2024-07-15,2024-07-15,1,Level_02,창문,IfcWindow,10,opening_covered,5501.0,"창문 설치 (83개, 10개/일)",0,original
5503,Level 02 창문 설치 (Day 3/9),2024-07-16,2024-07-16,1,Level_02,창문,IfcWindow,10,opening_covered,5502.0,"창문 설치 (83개, 10개/일)",0,original
5801,Level 03 기둥 콘크리트 타설 (Day 1/2),2024-07-16,2024-07-16,1,Level_03,기둥,IfcColumn,30,edge_open,"57,9129","콘크리트 타설 (38개, 30개/일)",0,original
5504,Level 02 창문 설치 (Day 4/9),2024-07-17,2024-07-17,1,Level_02,창문,IfcWindow,10,opening_covered,5503.0,"창문 설치 (83개, 10개/일)",0,original
5802,Level 03 기둥 콘크리트 타설 (Day 2/2),2024-07-17,2024-07-17,1,Level_03,기둥,IfcColumn,8,edge_open,5801.0,"콘크리트 타설 (38개, 30개/일)",0,original
