entry_id,hoc_level,accident_type,alternative_id,rule_type,rule_id,applies_to_cell_type,parameter_value,class,reason,base_alt_difference,fix_applied,enabling_condition
KE_K_RB_02,공학적,떨어짐,ALT_K_RB_02,SpatialChangeRule,RULE_K_RB_02,,,X,"전용 이동통로를 추가해 우회시키는 지시인데, 모델에 통로(route) zone 이 없고 appliesToCellType 도 v2.3 정본에 없다. 통로를 어디에 놓을지 정보가 없다.",,,배근면과 분리된 통로 위치를 IFC 또는 가설물 파생으로 확보
KE_K_RB_03,공학적,물체에맞음,ALT_K_RB_03,AgentParameterRule,RULE_K_RB_03,,,C,AgentParameterRule 인데 parameter_value 가 비어 있다. 원천에 계수가 존재하지 않는다 (지어내지 않음).,없음 — 배율이 없어 BASE 와 동일,,
KE_K_ST_03,공학적,부딪힘,ALT_K_ST_03,SpatialChangeRule,RULE_K_ST_03,equipment_corridor,,X,"작업자 동선과 장비 동선을 분리하는 지시인데, 모델에 작업자 전용 동선 개념이 없다. H011 zone 은 그대로 두고 사람만 피하게 할 수단이 없다.",수정 후: kind=scale {'narrow': 1.0},,작업자 전용 통로를 별도 TS 로 파생하고 A* 가 그것을 선호하도록
KE_K_TR_08,경고,넘어짐,ALT_K_TR_08,AgentParameterRule,RULE_K_TR_08,,,C,AgentParameterRule 인데 parameter_value 가 비어 있다. 원천에 계수가 존재하지 않는다 (지어내지 않음).,없음 — 배율이 없어 BASE 와 동일,,
KE_M_Fall_FormErection_01,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Fall_FormErection_02,공학적,떨어짐,ALT_M_Fall_FormErection_02,AgentParameterRule,RULE_FE_GUARDRAIL,edge_cells,fallProbMultiplier=0.10,S,채널 배율 적용 {'edge': 0.1},λ 배율 {'edge': 0.1},,
KE_M_Fall_FormErection_03,공학적,떨어짐,ALT_M_Fall_FormErection_03,AgentParameterRule,RULE_FE_PLATFORM,elevated_work_zone,fallProbMultiplier=0.30,X,계수 0.30 은 있으나 cellType 이 elevated_work_zone 이라 대상 인스턴스가 없다. **계수 문제가 아니라 대상 부재다.**,,,고소작업 zone(H005) 파생
KE_M_Fall_MatHandling_01,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Fall_Pour_01,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_HitByObj_FormErection_01,공학적,물체에맞음,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_HitByObj_MatHandling_01,공학적,물체에맞음,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Struck_FormErection_01,대체,부딪힘,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Struck_Rebar_01,제거,부딪힘,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_FormErection_01,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_FormErection_02,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_MatHandling_01,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_MatHandling_02,경고,넘어짐,ALT_M_Trip_MatHandling_02,AgentParameterRule,RULE_TRIP_LIGHT,route,tripProbMultiplier=0.80,X,계수 0.80 은 있으나 cellType 이 route 라 대상이 없다. **계수 문제가 아니라 대상 부재다.**,,,통로 zone 파생
KE_M_Trip_MatHandling_03,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_MatHandling_04,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_M_Trip_MatHandling_05,공학적,넘어짐,ALT_M_Trip_MatHandling_05,SpatialChangeRule,RULE_TRIP_ROUTE,route,,X,통로 회랑을 보호해 적재물 spawn 을 배제하는 지시인데 cellType 이 route 이고 이 프로젝트에 route zone 이 없다.,,,통로 zone 파생 (R5 의 보행가능영역에서 축을 추출)
KE_M_Trip_MatHandling_06,공학적,넘어짐,ALT_M_Trip_MatHandling_06,SpatialChangeRule,RULE_TRIP_STORAGE,material_storage,,X,"적재구역을 통로와 겹치지 않게 이전하는 지시인데, **어디로 옮길지**가 모델에 없다. 현재 해석은 배율 1.0 으로 떨어져 BASE 와 동일하다.",수정 후: kind=scale {'material': 1.0},,이전 목적지를 정하는 규칙(빈 면적 탐색) 또는 대안 zone 세트
KE_M_Trip_Rebar_01,공학적,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_S_CP_04,공학적,무너짐,ALT_S_CP_04,AgentParameterRule,RULE_CP_LIFT_LIMIT,collapse_zone,collapseProbMultiplier=0.50,S,채널 배율 적용 {'collapse_zone': 0.5},λ 배율 {'collapse_zone': 0.5},,
KE_S_CP_05,제거,무너짐,ALT_S_CP_05,TemporalRule,RULE_CP_STRENGTH_VERIFY,,,S,TemporalRule 파싱 `min_curing_lag`,공정·생멸 시점이 이동 (min_curing_lag),,
KE_S_FE_06,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_S_FE_07,대체,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_S_FE_08,대체,떨어짐,ALT_S_FE_08,SpatialChangeRule,RULE_FE_METALDECK,collapse_zone,,S,SpatialChangeRule `remove` — 격자에서 직접 구분된다,zone 이 사라진다,,
KE_S_FE_09,제거,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_S_H001_09,대체,떨어짐,ALT_S_H001_09,SpatialChangeRule,RULE_H001_RELOCATE,floor_opening,,X,"개구부를 동선에서 이격하는 지시인데, **이격 목적지**가 모델에 없다. 개구부를 어디로 옮길지 정하는 규칙이 없어 BASE 와 동일하다. 떨어짐 사다리의 대체급이 여기서 막힌다.",수정 후: kind=scale {'fall': 1.0},,동선 zone 과 이전 가능 위치를 파생해 개구부 재배치 규칙을 정의
KE_S_H001_10,제거,넘어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_CP_01,대체,무너짐,ALT_T_CP_01,SpatialChangeRule,RULE_CP_PC,collapse_zone,,S,SpatialChangeRule `remove` — 격자에서 직접 구분된다,zone 이 사라진다,,
KE_T_CP_03,관리적,무너짐,ALT_T_CP_03,SpatialChangeRule,RULE_CP_NOENTRY,collapse_zone,,S,SpatialChangeRule `block` — 격자에서 직접 구분된다,진입이 차단된다,,
KE_T_FE_01,제거,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_FE_02,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_FE_03,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_FE_04,제거,떨어짐,ALT_T_FE_04,TemporalRule,RULE_FE_STAIR_EARLY,,,X,영구계단 조기 설치 지시인데 **얼마나 앞당길지**가 없다('earlier'). 정량이 없어 스케줄을 바꿀 수 없다.,공정·생멸 시점이 이동 (unsupported),,앞당기는 양 또는 목표 선후관계를 명시한 문구
KE_T_FE_05,대체,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_FS_01,제거,떨어짐,ALT_T_FS_01,TemporalRule,RULE_FS_CLOSURE_FIRST,,,D,scheduleShift 'opening_closure(Z) FS-before formwork_stripping(Z)' 는 parse 는 되지만 apply_temporal_shift 가 fs_before 를 실행하지 않는다 (Phase 3 에서 '기록만'으로 남긴 항목).,공정·생멸 시점이 이동 (fs_before),"**수정하지 않았다.** 선후관계 삽입은 CPM 재계산을 유발해 공기가 바뀔 수 있고, 그 영향은 별도 검증이 필요하다. 미수정 사유를 남긴다.",
KE_T_HS_01,위험회피,물체에맞음,ALT_T_HS_01,SpatialChangeRule,RULE_HS_GROUNDASM,elevated_work_zone,,X,지상 조립으로 고소작업 자체를 없애는 지시인데 cellType 이 elevated_work_zone 이고 이 프로젝트에 대응 위험유형이 없다.,,,고소작업 zone(H005) 파생
KE_T_HS_02,공학적,물체에맞음,ALT_T_HS_02,AgentParameterRule,RULE_HS_DEBRISNET,drop_zone,hazardWeightMultiplier=0.35,S,채널 배율 적용 {'drop_zone': 0.35},λ 배율 {'drop_zone': 0.35},,
KE_T_HS_03,제거,물체에맞음,ALT_T_HS_03,TemporalRule,RULE_HS_PHASED,,,X,'중첩=0 이 되도록 이동'인데 대상 작업 쌍이 특정되지 않는다.,공정·생멸 시점이 이동 (unsupported),,대상 작업 쌍을 명시한 문구
KE_T_HS_04,대체,물체에맞음,ALT_T_HS_04,AgentParameterRule,RULE_HS_INTFORM,drop_zone,materialProbMultiplier=0.50,D,계수 materialProbMultiplier=0.50 이 있는데 drop_zone 채널의 키가 hazard_weight_multiplier 로 고정되어 있어 읽히지 않았다.,수정 후: kind=scale {'drop_zone': 0.5},drop_zone 이 두 키를 모두 받도록 변경 (v3.6). **기존 값의 의미는 바뀌지 않았다** — RULE_HS_DEBRISNET 의 hazardWeightMultiplier 해석은 그대로다. 다만 두 이름 중 어느 것이 옳은지는 원저자만 답할 수 있어 미해결.,
KE_T_PO_01,제거,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_T_PO_02,제거,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
